,Name,Description,Industry,Keywords,Founded,Locations,Disclosed Funding,Next Round Estimate,Probability Score,Valuation Estimate
0,1World Online,"1World Platform helps publishers, brands and marketers add interactive tools to their content to boost engagement and add revenue opportunities.",news and media,"internet, internet/software, news and media",2012,United States,$5.90m,Q2 2019,61%,$32.67m
1,4Me,"4me allows an organization’s internal and external service providers to collaborate seamlessly, while 4me tracks the level of service being provided.",business and industry,internet company,2018,United States,$1.65m,Q1 2019,,$11.00m
2,Abl Schools,Abl is building a new kind of school operations software that helps school leaders better manage their time and resources through creative scheduling.,education,education,2015,United States,$16.50m,Q2 2018,44%,$50.00m
3,Acast,A podcasting app and web service,news and media,"business and industry, media/news company, media/news/publishing",2013,"Sweden, United Kingdom, United States",$13.13m,Q3 2018,84%,$22.66m
4,Accern,Discover Actionable Stories on US Public Companies,financial services,"internet/software, investing",2013,United States,$3.35m,Q3 2018,67%,$14.00m
5,Aday,"ADAY believes in simplifying life so you have space to dream bigger. 
#thisisADAY",,"active, active lifestyle, activewear, apparel and fashion, badass...",2015,United States,$2.00m,Q1 2019,43%,$13.33m
6,Adistry,The most accommodating ad network.,news and media,"advertising, advertising sales, business and industry, cannabis advertising, internet/software...",2014,United States,$370k,Q2 2018,55%,$1.67m
7,AdQuick,"A marketplace to buy and sell outdoor advertising. Buyers can browse, create campaigns, and book all online. Sellers can reach a new segment of advertisers",marketing and advertising,internet company,2016,United States,$1.10m,Q3 2018,38%,$7.33m
8,Adwerx,"Advertise your real estate brand and listings on hundreds of websites with one simple platform, and brilliantly simple ads. www.adwerx.com",property management,marketing and advertising,2013,United States,$4.30m,Q4 2018,52%,$28.67m
9,AeronydeCorp,Aeronyde Corporation specializes in custom autonomous aerial vehicles (UAS / UAVS / Drones) for various commercial applications.,aviation,aerospace company,2017,United States,$4.70m,Q4 2018,,$31.33m
10,Agent IQ,AI- and Machine Learning-Boosted Customer Service and Engagement for Enterprises ,,internet company,2015,United States,$6.30m,Q2 2019,,$42.00m
